Id,Label,TotalCommits,TotalIssues,TotalPullRequests,PublicRepos
598,valtinhonf,16,0,0,4
599,TiagoValdrich,39,0,0,41
600,DesenvolvimentoVitoria,0,0,0,118
601,Maxuelreis,0,0,0,12
602,zehguilherme,345,103,133,7
603,FelipeTomazEC,45,0,0,16
604,EverttonFernandes,17,0,0,28
605,eduardovilke,9,0,0,47
606,mdnm,78,0,13,23
607,MatheusMoraes66,43,0,1,30
608,c0sta,20,0,9,43
609,matthsena,80,0,3,45
610,SousaPedro11,131,0,2,117
611,LuanEdCosta,164,1,21,55
612,dbelarmino,0,0,0,34
613,lucasmsa,110,1,2,77
614,dalissongabriel,47,0,0,74
615,williamkoller,550,4,74,416
616,gustavodaltoe,3,0,0,29
617,ojuliomiguel,73,0,0,34
618,AlvaroCavalcante,96,0,2,20
619,gdeggau,10,0,0,48
620,omateusamaral,132,0,3,78
621,felipeAguiarCode,180,0,0,47
622,marvst,78,0,6,9
623,VialdeSouza,0,0,0,20
624,mauricioromagnollo,432,23,8,65
625,ellismarjr,48,0,0,93
626,rckmath,54,0,11,21
627,fernandobelotto,309,1,4,302
628,iagosaito,55,0,3,24
629,danroxha,99,3,11,61
630,Delatorrea,0,0,0,0
631,PabloMelo11,176,0,1,65
632,RaulRory,1,0,0,11
633,arturbp,0,0,0,28
634,GuilhermeBalog,115,2,2,59
635,KollerZx,48,0,1,56
636,ruandsx,8,0,0,37
637,werikscs,188,8,41,31
638,renserrano,81,12,0,14
639,fernandoguide,5,0,0,118
640,bsfranca2,89,3,0,10
641,renanzulian,11,2,5,49
642,thobiassilva,93,0,1,29
643,carlosdan-el,8,0,0,11
644,lugonpedro,88,1,0,14
645,notelho,0,0,0,33
646,giulianusslourencon,2,0,0,10
647,samuelsankys,122,0,16,36
648,thomassonobe,9,0,0,17
649,DouglasCon,0,0,0,0
650,thenriquedb,186,0,7,38
651,fpelogia,19,0,0,13
652,jonatanbortolon,21,0,3,32
653,wgcostta,0,0,0,92
654,joaofreittas,64,0,6,55
655,bryan-matheus,55,0,1,33
656,carvalhin,7,0,0,2
657,octaviobarbosa,5,0,1,53
658,juniormendes96,0,0,0,15
659,henriquecosta21,85,1,4,30
660,dyarleniber,22,1,0,41
661,guilhermetupi,11,0,1,49
662,viniciusbls9,554,0,7,107
663,srsantosdev,21,0,0,135
664,DionerWeiss,91,0,0,32
665,flaviobzs,2,0,0,84
666,mateusfg7,2334,115,101,163
667,cascdev,0,0,0,24
668,FabioHFDomingos,0,0,0,0
669,lfujiwara,12,0,0,51
670,GustavoCesarSantos,350,0,38,32
671,diegoalvescf,178,0,12,23
672,estrng,29,3,2,49
673,sozua,0,0,1,3
674,RaphaelOliveiraMoura,60,0,0,98
675,avrcoelho,50,1,1,162
676,ritallopes,17,1,3,59
677,otavioomota,37,0,12,49
678,brunoomariano,4,0,0,3
679,renanmms,294,10,2,42
680,AdonisLima,1,0,0,8
681,carlosdbrito,3,0,0,3
682,raffaelnascimentof,0,0,0,1
683,guilhermebkel,100,0,0,57
684,ryanlucaslemos,0,0,0,32
685,thiagomachadox,1,0,0,17
686,Thiago18l,40,0,2,90
687,EuclidesXcode,207,0,1,26
688,intwone,143,0,7,64
689,caiquecamargo,19,0,0,42
690,MrNickFury,0,0,0,6
691,Leonardox7,3,0,0,5
692,TheSmileyDroid,318,0,11,38
693,Zendered,38,0,0,24
694,andradenathan,126,0,2,31
695,GiovaniBoff,8,6,5,26
696,ericrodriguesfer,31,0,4,34
697,emersonmelomartins,46,3,0,25
698,johnlager,0,0,0,22
699,patrickpiresdev,25,0,0,15
700,Wesley-Nunes,200,0,66,17
701,igmriegel,24,3,2,52
702,lucasrmagalhaes,191,73,5,154
703,lpampolha,88,2,0,29
704,alemon-ice,22,0,0,11
705,kaiomudkt,227,0,23,21
706,hayatojpg,26,0,12,25
707,fredsonchaves07,883,92,73,97
708,alxestevam,3,0,0,29
709,EDUMATT3,0,0,0,25
710,gabriel-rcpereira,3,0,0,54
711,JinSSJ3,262,4,3,21
712,natalialuizads,34,5,1,35
713,caiqueportela,0,0,0,20
714,gustavomedeiross,198,3,1,44
715,guilhermedjr,34,2,2,21
716,MurilloIDM,25,0,32,25
717,DedeOli21,0,0,0,15
718,maykemoreira,0,0,0,10
719,ThaSMorato,30,2,4,129
720,MatheusCoxxxta,23,2,0,56
721,ViniciusEmmanuel,0,0,0,38
722,DouglasDelavy,76,0,2,20
723,psbrunosouza,169,0,0,93
724,camposyuri,161,0,17,57
725,cvieira850,1,0,0,87
726,douglasF5,188,1,2,23
727,jardessonrb,17,18,22,61
728,TrindadeThiago,16,0,5,61
729,lucianobajr,527,0,21,45
730,MelkdeSousa,238,3,6,41
731,DGKSK8LIFE,0,0,0,108
732,jonasqf,38,0,1,13
733,LucasdRossi,1,0,0,16
734,ralvescosta,790,1,76,92
735,EduardoCastellini,1,0,0,40
736,jjnanthakumar,39,3,1,158
737,jemsantos,56,0,2,74
738,NathanSaldanha,9,0,0,54
739,MaykerHM,166,0,39,41
740,andre2l2,141,1,1,34
741,RafaelPoddis,21,0,0,2
742,LeonardoCamargo31,41,0,0,74
743,jonatasbr,2,0,0,15
744,felipe-jm,392,2,9,94
745,lcoalves,1,1,0,61
746,WandyScheffer,0,0,0,19
747,Lucaslgf2,79,0,0,7
748,ViniciusGregorine,7,0,1,14
749,mateusjbarbosa,222,0,0,51
750,douglasgomes98,203,20,38,39
751,Kaua3045,2214,2,102,18
752,LucasAraujoDeSa,58,0,2,17
753,jdgabriel,35,5,4,62
754,bielslima,0,0,0,58
755,filipem2210,0,0,4,20
756,wdivino,16,0,0,7
757,andreciobezerra,10,1,0,27
758,dellopes,9,0,0,2
759,pademacena,41,0,1,51
760,pauloalexxandre,0,0,0,2
761,gabrielsanttana,17,0,2,87
762,adrielborges,22,0,0,38
763,Steinert999,12,1,1,8
764,carlosdbarros,0,0,0,14
765,flpdorea,59,0,0,4
766,matheusgomes062,216,6,14,105
767,ArturLansoni,0,0,0,9
768,elantunes,53,0,0,3
769,lmiguelm,121,0,0,67
770,romanofficial,4,0,0,46
771,HiiMartins,18,0,1,22
772,theandersonfonseca,1,0,0,26
773,ottofq,21,0,6,21
774,jeanscapim,0,0,0,5
775,leoskrr,23,0,0,25
776,eduardokucek,115,0,24,22
777,giovaniif,28,0,2,32
778,pedroirm,15,0,0,4
779,leosoares94,161,0,1,2
780,joaopedroasz,521,0,0,15
781,chrystiannascimento,4,0,0,13
782,ricardocastanho,171,6,0,40
783,Darkisda,0,0,0,57
784,awcasella,49,0,0,19
785,xecoo,189,0,0,15
786,arthurDonizetti,5,0,0,12
787,Alissonpl,0,0,1,39
788,rafaelpapastamatiou,110,0,0,78
789,cristianeasreis,122,0,0,37
790,gabrielogregorio,972,62,123,94
791,gabrielvieira18,0,0,0,2
792,MatheusYudi,0,0,0,11
793,GabLeal,19,0,0,43
794,pedr0fontoura,229,5,13,34
795,Gustavo2358,43,0,3,12
796,rbmelolima,75,0,7,35
797,samuelves,1,0,0,37
798,andreyrcdias,273,1,18,7
799,rnldourado,37,0,4,20
800,mbragariano,0,0,0,6
801,franklingoncalves,0,0,0,1
802,Margarida-Andre,27,0,6,29
