Id,Label,TotalCommits,TotalIssues,TotalPullRequests,PublicRepos
623,alexlondon07,34,0,1,451
624,DanielObara,32,0,0,58
625,hadley,2376,417,767,336
626,woliveiras,70,0,4,81
627,gabizinha12,127,0,0,132
628,luismendes070,467,8,4,650
629,maxbyz,0,0,0,1521
630,digzom,128,13,9,64
631,EST3V4O,14,0,0,45
632,lucasmls,48,0,1,12
633,luan0ap,7,0,0,323
634,ThiLourenco,665,3,112,92
635,farnetani,21,0,1,199
636,jpedroschmitz,33,1,18,51
637,sspacecoding,5,0,0,2
638,eduardotrandafilov,14,0,0,142
639,CarlosJordanDev,0,0,0,3103
640,AvinandanBose,2486,0,0,106
641,rodcordeiro,450,1,34,172
642,Yidadaa,1235,30,160,56
643,lfoliveir4,26,0,2,105
644,msawaguchi,15,2,0,33
645,felipee-monteiro,562,0,21,23
646,joseaugustoss,38,0,1,7
647,jrstylle,1,0,0,12
648,ErosMLima,0,0,0,413
649,JeanLLopes,9,0,0,174
650,cezarsa,3,2,2,156
651,jgoncalves8080,26,0,0,47
652,iagocavalcante,23,2,9,157
653,davidsonfellipe,103,5,99,49
654,Miraculous-Arathi,0,0,0,14
655,carlossantos74,660,1,159,33
656,ThadeuCesario,58,0,0,111
657,vitasha10,18,0,1,24
658,hugocarreira,0,0,0,58
659,maxamin,4,0,11,35
660,Mahmoud-Italy,1,0,0,68
661,daniilomello,27,2,0,10
662,aew,0,0,2,1
663,elite390497,7,0,0,6
664,brendangregg,13,2,0,42
665,csjaba,0,0,0,53
666,alvarowolfx,75,0,67,158
667,m0rp43us,20,2,4,150
668,MatheusBBarni,67,0,1,73
669,JiuBanA1,544,24,7,9
670,felladrin,408,34,91,63
671,juniorgetsoftware,0,0,0,87
672,julianosirtori,166,6,28,47
673,YeshwanthKM,0,0,0,50
674,rafaelq80,809,0,0,124
675,ChristoPy,478,5,14,78
676,RafaelGoulartB,53,0,0,62
677,robertolima-dev,40,0,34,95
678,bprofiro,2,0,0,55
679,kingstar1115,532,3,0,59
680,cassiosantos,14,0,1,27
681,tiagorlampert,4,0,1,12
682,aryashah2k,2378,1,1,78
683,MatheusVict,1368,12,46,143
684,mateuschaves,365,12,11,205
685,felipegarcao,165,2,1,89
686,eddyonl,0,0,0,1
687,lucasrmagalhaes,200,69,2,157
688,scopes1337,0,0,0,10
689,raisiqueira,130,2,35,154
690,alailsonko,38,0,0,61
691,peter279k,39319,10,168,942
692,danielfm,7,4,2,18
693,plcosta,0,0,0,36
694,qa1,0,0,0,442
695,dalakatt,0,0,0,245
696,afonsopacifer,61,0,1,158
697,rafaelrinaldi,1,0,1,116
698,lucis,345,7,125,88
699,gustavoguanabara,6,0,0,6
700,urmybestfriend,66,0,0,50
701,operfildoluiz,15,0,1,72
702,EdiJunior88,2513,11,7,94
703,rc-chuah,17,2,1,381
704,JDHB717,72,21,13,47
705,knadh,354,9,22,67
706,jansenfelipe,21,1,4,54
707,renatorib,80,4,4,129
708,tghelere,0,0,34,87
709,luizcieslak,22,3,0,64
710,eoisaac,395,0,0,27
711,aclaraamorim,0,0,0,0
712,cleberson-dev,34,0,0,49
713,Mizaeldouglas,272,0,4,166
714,bertoldoklinger,592,0,2,38
715,frankfanslc,1,0,0,3549
716,singharaj-usai,444,17,3,31
717,mauricioromagnollo,432,23,8,65
718,ianlancetaylor,289,29,2,10
719,Gizachew29,0,0,0,60
720,fabionascimento1,39,0,0,61
721,youkaichao,378,17,41,50
722,vcwild,194,25,48,105
723,vhenckel,7,0,7,72
724,mathiasbynens,1004,53,76,582
725,robertotcestari,699,29,114,61
726,brenofsena,3,0,0,9
727,daniloab,215,46,101,97
728,joaogabriel-sg,704,4,143,107
729,Robi2810,122,0,2,26
730,peguimasid,2158,1,32,81
